case,batch_id,timestamp,t_pct,phase,temp_C,pressure_bar,pH,agitator_rpm,feed_A_Lph,feed_B_Lph
A,A_B001,2026-01-15T06:00:00,0.0,Charge,21.92032247980578,1.0099319601178156,5.659881399615969,157.0213633697728,21.45445787219132,15.629420442114823
A,A_B001,2026-01-15T06:08:09.343221,0.7194244604316546,Charge,22.70069846316023,1.0292127378222076,5.57444466245525,149.0041434060837,20.612018125534906,14.577414414250613
A,A_B001,2026-01-15T06:16:18.686442,1.4388489208633093,Charge,23.554342898721696,0.9922666608503204,5.630395836270251,153.88628380381743,19.7747352276393,14.154951647273236
A,A_B001,2026-01-15T06:24:28.029663,2.158273381294964,Charge,22.30408021210344,1.0482186686819672,5.6350421199013665,152.58150379834058,20.844735090674163,14.066061496981543
A,A_B001,2026-01-15T06:32:37.372884,2.8776978417266186,Charge,22.462105406517487,0.9922979827959232,5.65330679449671,155.47452623012938,19.719435146170838,15.363659254471015
A,A_B001,2026-01-15T06:40:46.716105,3.597122302158273,Charge,24.073809862601983,1.0246145698168911,5.595585175939762,146.1403061576796,18.579941107525073,14.231814874425064
A,A_B001,2026-01-15T06:48:56.059326,4.316546762589928,Charge,23.588986299314037,1.0409732133138603,5.59617509666584,152.74420583999375,19.302930014279784,16.052974696552944
A,A_B001,2026-01-15T06:57:05.402547,5.0359712230215825,Charge,22.768280094283792,1.0415547647548846,5.654814927063089,154.23369794739835,18.7015216114711,13.750974789374853
A,A_B001,2026-01-15T07:05:14.745768,5.755395683453237,Charge,23.751694331417447,1.033114542214788,5.651726986555748,142.96504205430753,19.768147472612622,16.018051684302627
A,A_B001,2026-01-15T07:13:24.088989,6.474820143884892,Charge,23.126512860118115,1.0443616163261218,5.654306689898406,145.2669659493369,20.031021718650823,15.12684833698187
A,A_B001,2026-01-15T07:21:33.432209,7.194244604316546,Charge,23.311040855478232,1.0450198451632706,5.661494895755306,141.8430712889596,21.19652017680917,14.942288860940602
A,A_B001,2026-01-15T07:29:42.775430,7.913669064748201,Charge,24.071435710356596,1.0483987163767252,5.635367151183472,148.92237266222176,20.257914025780494,14.673468500345114
A,A_B001,2026-01-15T07:37:52.118651,8.633093525179856,Charge,22.550565751109765,1.0746906113532138,5.667780862611989,152.87016902318385,19.883146672808195,15.240036110431046
A,A_B001,2026-01-15T07:46:01.461872,9.35251798561151,Charge,22.915022359297343,1.0718826510411954,5.675051668732456,156.00942820838412,20.62622700576692,14.978148055447924
A,A_B001,2026-01-15T07:54:10.805093,10.071942446043165,HeatUp,24.0708431652712,1.0605787019721464,5.650697695882422,150.4578173125887,18.50896064059625,15.662935231026683
A,A_B001,2026-01-15T08:02:20.148314,10.79136690647482,HeatUp,23.949734803808923,1.0887662787459351,5.734413631968434,158.28991204840528,20.235138871051163,15.069780180236656
A,A_B001,2026-01-15T08:10:29.491535,11.510791366906474,HeatUp,25.266150285946335,1.0840279311847765,5.699430763483912,147.86720497129468,20.62600826862012,15.09179505405909
A,A_B001,2026-01-15T08:18:38.834756,12.230215827338128,HeatUp,24.560485528895313,1.095595280592491,5.656733519596141,148.182710723551,19.070772501062265,14.783918461258859
A,A_B001,2026-01-15T08:26:48.177977,12.949640287769784,HeatUp,24.44874256643892,1.0966603056573805,5.719923744159532,156.37747125794857,20.929469384599052,14.968516611038144
